Price,Monthly_Income,Savings_Percentage,Discount_Percentage,Mood,Urgency_Level,Research_Time_Minutes,Brand_Familiarity,Purchase_Category,Peer_Influence,Impulsiveness_Score,Regret
648357,4340868,20,31,Neutral,Low,86,High,Food,None,1,0
254129,694944,41,53,Neutral,High,57,High,Electronics,Low,3,0
36681,1110534,26,1,Neutral,Low,89,Medium,Accessories,Low,1,0
630202,503863,38,41,Stressed,High,118,Medium,Home,None,3,1
797129,4863380,59,6,Excited,Low,56,High,Home,None,4,0
264562,2704015,45,15,Happy,Medium,13,High,Home,High,3,0
406669,3182825,1,31,Stressed,Low,86,Low,Electronics,None,6,0
52971,4484125,57,57,Excited,Low,85,Low,Clothing,None,1,0
390007,2286230,53,59,Neutral,Low,100,High,Clothing,None,1,0
251501,4202355,43,4,Excited,High,102,Medium,Food,High,4,0
189457,454395,29,46,Happy,Low,98,Low,Accessories,High,7,0
760513,3384569,59,29,Excited,Low,18,Medium,Clothing,None,1,0
735044,1428286,25,61,Excited,Low,22,Medium,Food,None,9,1
378546,4949505,0,33,Excited,Medium,95,Medium,Electronics,Low,6,0
176665,4386932,52,0,Happy,Low,15,Low,Food,High,7,0
541302,1691293,28,66,Happy,Low,75,High,Electronics,None,3,0
355662,3605333,27,68,Stressed,Medium,46,Medium,Home,Low,1,0
78831,2293627,4,15,Neutral,Low,89,Medium,Electronics,High,5,0
456018,1112677,36,22,Happy,High,9,Low,Electronics,High,6,1
592723,4849723,30,9,Stressed,High,18,Medium,Clothing,High,1,0
540702,3548555,15,23,Neutral,High,79,High,Clothing,None,7,0
49165,3342690,19,23,Excited,High,11,High,Clothing,High,2,0
353874,2828100,50,42,Excited,High,100,Medium,Accessories,Low,3,0
505049,4530897,42,43,Stressed,High,28,Medium,Accessories,None,2,0
385827,2653790,16,7,Neutral,Low,92,High,Food,High,2,0
806840,4202571,57,28,Happy,High,119,High,Food,None,4,0
220206,3374720,35,9,Excited,Medium,100,High,Clothing,High,9,0
114402,2188151,35,23,Happy,Medium,22,Low,Home,Low,5,0
675560,3746196,22,29,Neutral,High,16,Low,Food,None,1,0
178081,4068960,21,12,Excited,Medium,58,Low,Food,High,3,0
410045,4665456,18,8,Stressed,High,70,Medium,Home,None,4,0
5536,1044458,11,24,Neutral,Low,51,Low,Electronics,Low,5,0
322760,202775,56,38,Happy,Low,108,High,Home,High,5,0
797656,3014758,57,4,Happy,Medium,34,Medium,Electronics,High,7,0
89980,1781203,8,57,Stressed,High,107,Medium,Food,Low,1,0
525880,1337397,12,39,Excited,High,41,Medium,Accessories,Low,9,1
805547,522313,4,28,Neutral,High,36,Low,Accessories,High,6,1
13857,1291643,16,44,Stressed,High,3,Low,Electronics,None,4,0
19920,4447987,53,38,Neutral,Low,90,Low,Electronics,Low,3,0
830964,3892857,27,57,Neutral,High,19,Low,Clothing,High,8,1
173466,310062,0,2,Stressed,Medium,76,Medium,Food,Low,9,1
290210,3698976,55,32,Excited,Low,37,Low,Accessories,None,5,0
822877,4853287,44,60,Stressed,High,46,High,Clothing,High,5,0
355590,3343442,59,35,Happy,Low,98,High,Clothing,None,3,0
638403,863158,40,48,Neutral,Medium,13,Medium,Electronics,High,1,0
368551,3300887,22,56,Neutral,Medium,74,Medium,Electronics,None,8,0
286153,4265507,52,7,Excited,Medium,91,Low,Food,Low,4,0
346859,3780803,49,27,Excited,High,91,Low,Electronics,High,5,0
544497,502562,53,62,Excited,Medium,16,Low,Food,High,9,1
319237,4890211,47,28,Happy,High,12,High,Electronics,Low,3,0
398979,2682618,4,46,Stressed,Medium,24,High,Food,High,2,0
844623,3567737,58,4,Excited,High,118,Low,Clothing,Low,8,1
27762,4076647,46,48,Neutral,Low,10,High,Accessories,Low,5,0
718090,4468418,26,48,Stressed,Low,76,High,Home,None,1,0
105620,4470150,0,20,Excited,High,111,Low,Home,Low,7,0
673794,4914764,30,4,Happy,High,101,High,Food,Low,3,0
810006,168273,18,16,Happy,Medium,84,High,Home,Low,9,1
831588,3036756,3,61,Stressed,Low,64,Low,Food,Low,1,1
92243,3186915,30,38,Neutral,Low,25,Medium,Electronics,Low,2,0
312116,2720514,49,11,Happy,Low,64,High,Food,None,6,0
125967,3450498,56,16,Stressed,Medium,111,Low,Food,Low,7,0
826246,2966293,1,50,Happy,Low,102,High,Accessories,High,6,0
6999,2865337,33,29,Excited,High,78,High,Food,None,3,0
476517,2458752,37,29,Excited,High,118,Low,Home,High,3,0
365390,2535179,9,55,Stressed,Medium,16,Low,Food,None,1,0
650249,4039628,33,5,Stressed,Medium,52,Medium,Clothing,None,2,0
429852,666614,56,22,Excited,High,54,High,Clothing,Low,6,1
582581,1033455,3,55,Stressed,Low,24,Low,Home,Low,3,1
426700,1955367,49,60,Neutral,Medium,50,High,Electronics,Low,3,0
480771,2387357,20,69,Happy,Low,0,Medium,Food,None,5,1
149899,4251049,48,44,Excited,Medium,26,Low,Accessories,None,9,0
809056,4073472,21,55,Excited,Medium,93,Low,Accessories,Low,1,0
210226,2292623,48,51,Stressed,Medium,78,Low,Clothing,High,8,0
389643,820131,22,1,Neutral,High,108,High,Electronics,None,8,1
660532,2906614,22,17,Happy,Low,37,Low,Clothing,Low,3,0
570609,4631038,36,27,Neutral,High,73,Medium,Clothing,None,7,0
95512,775173,43,24,Happy,Medium,16,Medium,Home,None,4,0
531899,472010,40,17,Neutral,Medium,110,High,Clothing,None,4,0
735315,4736502,7,39,Stressed,Medium,112,Medium,Food,Low,3,0
191126,577735,33,58,Neutral,Medium,55,Low,Home,None,6,0
714066,949789,20,69,Stressed,High,69,Low,Accessories,High,7,1
994703,4386514,29,23,Excited,Medium,54,Medium,Electronics,None,9,1
418084,2858406,39,35,Neutral,Medium,23,Low,Home,Low,6,0
997133,1176459,14,5,Excited,Low,117,High,Food,None,1,1
799716,2362821,56,65,Stressed,Medium,78,High,Electronics,None,8,1
874718,69323,18,19,Excited,Low,112,Medium,Clothing,None,1,0
242033,4987564,10,2,Neutral,Low,32,Low,Food,High,6,0
589883,3762974,9,43,Stressed,High,1,Medium,Food,High,8,1
8562,661702,36,16,Excited,High,8,Low,Accessories,None,8,1
429524,4807116,59,49,Neutral,Medium,77,High,Clothing,Low,5,0
464058,1389418,34,0,Neutral,Medium,39,Low,Electronics,High,6,0
87438,4731599,10,13,Neutral,Low,59,Medium,Clothing,None,3,0
522294,4878594,13,25,Excited,Medium,61,High,Accessories,Low,4,0
738395,834735,7,38,Stressed,Low,103,Medium,Electronics,High,3,1
989074,3300374,32,24,Happy,Medium,16,Medium,Electronics,High,1,0
511987,2513749,52,50,Excited,Low,38,Medium,Accessories,High,3,0
223860,3247374,50,41,Happy,High,63,Medium,Food,Low,4,0
857806,1112955,29,26,Neutral,High,35,Low,Clothing,High,6,1
830510,1904492,26,54,Excited,High,32,Low,Food,High,4,1
32315,3136209,32,37,Neutral,Low,12,Low,Home,Low,4,0
850917,3453503,14,28,Stressed,Medium,7,Low,Electronics,Low,5,1
84341,1712692,1,26,Happy,Low,94,Medium,Clothing,Low,3,0
492363,2697755,10,37,Excited,Medium,5,High,Home,Low,8,1
377227,81077,42,11,Happy,Medium,89,High,Food,High,8,1
541706,675688,46,59,Excited,Low,42,Low,Electronics,None,4,0
195766,2686719,36,30,Excited,Medium,8,High,Home,High,6,0
175449,2564272,21,10,Neutral,Low,22,Low,Electronics,High,1,0
953798,4332021,35,53,Excited,High,86,High,Accessories,Low,9,1
708583,3583226,39,14,Excited,Low,20,Medium,Clothing,None,9,0
57595,516411,56,25,Excited,Medium,40,Medium,Food,None,3,0
180810,1022433,10,37,Neutral,High,1,Low,Home,Low,7,0
844243,2092258,16,42,Excited,High,58,Low,Clothing,Low,3,1
329720,4113997,52,32,Stressed,High,48,Medium,Food,Low,6,0
147363,1300302,16,48,Stressed,Medium,19,Medium,Accessories,Low,6,0
676976,3357252,39,48,Stressed,High,70,Medium,Food,High,1,0
435215,4332858,58,55,Stressed,Medium,82,Low,Clothing,High,1,0
614735,2699287,39,18,Stressed,Medium,17,Medium,Home,High,1,0
703712,1310585,1,37,Happy,High,50,High,Food,None,4,1
916430,3453678,2,31,Neutral,High,9,Medium,Clothing,None,3,1
183725,1790910,27,31,Excited,Low,49,Medium,Accessories,None,7,0
897386,2607967,22,58,Stressed,High,71,Medium,Clothing,Low,6,0
462102,3485130,50,7,Happy,Medium,33,Low,Electronics,Low,3,0
425087,983039,45,15,Excited,Low,67,High,Home,Low,4,0
645638,616213,30,54,Happy,High,47,High,Home,High,2,1
254776,3677214,20,18,Happy,High,111,Medium,Food,None,3,0
162541,3531737,1,0,Excited,Medium,46,High,Clothing,None,5,0
627483,3821446,1,66,Excited,Medium,86,High,Clothing,None,7,0
538934,1710215,29,8,Stressed,Low,97,Medium,Accessories,None,5,0
906789,1988851,23,29,Stressed,Medium,119,Medium,Accessories,Low,7,1
707330,1737465,50,13,Happy,Low,8,Medium,Electronics,Low,8,1
886090,327918,8,21,Neutral,High,106,High,Electronics,None,4,1
780366,3539550,36,69,Excited,Medium,17,High,Food,Low,5,0
188506,2658093,33,16,Stressed,Low,36,High,Food,High,9,0
995965,4772348,41,26,Stressed,Medium,56,Medium,Electronics,None,6,0
751933,1231476,56,52,Excited,Low,70,Low,Food,Low,1,0
351757,696757,1,53,Stressed,High,106,Medium,Home,None,1,1
535893,2683932,10,39,Excited,Low,10,Medium,Accessories,High,4,0
11096,4427375,34,53,Stressed,Low,97,Low,Home,None,7,0
267047,1017117,4,55,Happy,High,32,High,Home,High,4,1
638468,2773362,16,61,Neutral,Low,108,High,Home,High,2,0
499187,4856188,8,39,Stressed,High,16,Low,Electronics,None,1,0
730076,2709999,41,24,Excited,Low,38,Medium,Electronics,Low,3,0
427286,1663987,43,50,Neutral,High,93,Low,Food,Low,6,0
575812,621036,43,58,Neutral,Medium,48,Low,Food,Low,1,0
880488,3302291,15,7,Excited,Medium,94,High,Food,None,5,1
972310,3742973,15,69,Happy,High,71,High,Clothing,High,9,1
775485,2179606,58,25,Happy,Medium,104,Low,Electronics,None,7,0
612171,2383837,57,6,Neutral,Low,13,Low,Accessories,High,5,1
928676,2444855,7,58,Stressed,Medium,86,Medium,Home,None,2,1
838053,3438382,34,17,Neutral,High,58,Low,Accessories,Low,7,0
337104,564723,59,44,Excited,High,97,High,Clothing,High,3,1
134105,681022,22,38,Excited,High,14,Medium,Electronics,High,8,0
841102,1693472,12,32,Stressed,Low,15,High,Accessories,Low,2,0
969947,464297,29,12,Happy,Medium,12,Low,Home,None,2,0
855828,4739963,28,61,Neutral,Medium,112,Medium,Electronics,High,5,0
819521,2711871,43,9,Neutral,High,29,Medium,Clothing,None,9,1
250245,2134885,48,2,Stressed,High,44,Low,Home,None,8,1
711029,3052569,36,24,Stressed,Medium,47,High,Electronics,None,1,0
768000,171472,14,48,Excited,Low,87,Medium,Clothing,High,4,0
43051,4790956,36,42,Stressed,Medium,69,High,Accessories,None,7,0
652639,2601874,12,24,Happy,Low,70,High,Food,Low,4,0
915065,436413,52,56,Happy,Medium,89,Low,Accessories,High,9,1
186676,150271,5,4,Stressed,Medium,4,Medium,Electronics,None,6,1
833082,81898,19,60,Neutral,Low,105,High,Accessories,High,3,1
944239,1044504,23,2,Happy,Low,31,Low,Accessories,None,3,1
793769,4914384,3,13,Neutral,Low,100,Medium,Accessories,None,2,0
242665,2619235,28,8,Stressed,Medium,66,Medium,Clothing,None,9,1
94427,3966352,14,39,Happy,Low,24,High,Clothing,None,5,0
605459,1079135,59,37,Happy,High,71,Medium,Clothing,None,5,1
566211,4162893,36,59,Stressed,High,47,Low,Home,High,5,0
126041,407732,31,61,Happy,Low,92,Low,Home,Low,3,0
657001,16303,33,39,Excited,High,90,Low,Home,High,1,1
269508,4185303,39,58,Stressed,Medium,58,High,Home,Low,9,0
707166,889056,52,41,Happy,High,99,High,Home,None,6,1
194742,53874,44,57,Excited,Medium,114,High,Clothing,High,7,0
527057,4877554,52,29,Neutral,Medium,38,Medium,Clothing,High,2,0
442111,3339732,28,11,Stressed,Low,38,Medium,Home,High,2,0
978015,1128994,48,16,Happy,High,103,Medium,Food,High,2,1
818057,1379572,34,69,Stressed,Low,82,Low,Food,High,7,0
435473,1197929,27,59,Neutral,High,78,Medium,Accessories,Low,5,0
931061,1661671,35,67,Happy,High,90,High,Food,High,1,1
326082,602897,53,64,Happy,Medium,21,Medium,Clothing,Low,8,1
854371,3581511,46,28,Excited,Low,75,Low,Accessories,High,4,0
676837,1940740,11,6,Neutral,Medium,28,High,Home,High,1,0
505984,1835815,50,57,Neutral,Medium,86,Low,Clothing,None,2,0
232782,4060555,16,12,Excited,Low,104,High,Clothing,High,7,0
338126,290555,31,1,Happy,Medium,46,High,Home,None,4,1
284236,3727946,16,55,Neutral,Medium,91,High,Clothing,High,5,0
783254,4772493,18,56,Excited,Medium,68,Low,Clothing,High,3,0
799339,924484,34,63,Stressed,High,112,Medium,Accessories,None,9,1
26435,4630678,43,26,Excited,Medium,71,Low,Food,None,9,0
986470,2447266,45,49,Stressed,Medium,115,Low,Electronics,High,7,0
607217,3982019,57,2,Neutral,Medium,19,High,Accessories,Low,9,0
784888,802968,43,8,Stressed,Low,37,Low,Home,Low,9,1
654087,1809673,23,10,Excited,Low,63,Medium,Accessories,None,1,0
778563,3308389,17,37,Stressed,High,31,Medium,Accessories,None,9,1
282775,2394383,10,50,Excited,High,87,High,Clothing,Low,9,0
388010,2547637,31,53,Happy,Low,85,Medium,Food,High,4,0
730073,27431,49,1,Stressed,Low,96,High,Food,High,1,1
219774,1952763,25,21,Neutral,Low,102,High,Electronics,Low,2,0
753803,55861,57,14,Happy,Medium,97,Low,Home,High,7,0
575385,1448717,8,5,Stressed,High,72,Low,Electronics,None,7,1
33370,332025,11,7,Excited,High,71,Low,Food,None,2,0
943237,3998710,58,6,Excited,Medium,74,Low,Clothing,Low,4,0
273847,3834049,21,25,Excited,Medium,2,High,Electronics,None,9,1
561215,937817,53,11,Happy,High,86,Low,Clothing,Low,9,1
944299,3837978,54,44,Neutral,Medium,7,High,Electronics,None,7,1
878929,644282,43,69,Stressed,Low,17,High,Accessories,Low,3,0
789402,4683714,2,27,Stressed,Low,73,High,Clothing,High,3,0
759950,1856317,14,6,Happy,Low,75,Medium,Clothing,High,1,1
508112,2234180,23,19,Happy,Low,36,Low,Electronics,High,4,0
626095,4036419,23,49,Neutral,Medium,48,Low,Accessories,None,3,0
596437,424065,52,65,Neutral,Low,78,Medium,Electronics,None,2,1
962904,2382074,57,11,Excited,High,2,Medium,Food,None,2,1
871360,3047146,25,7,Happy,High,99,Low,Home,Low,7,1
197183,2976981,1,36,Excited,High,68,High,Home,High,6,0
690543,3114244,46,13,Happy,High,119,High,Food,None,7,0
762035,1965826,24,27,Happy,High,65,High,Electronics,None,3,0
144882,157999,11,55,Neutral,Low,35,High,Electronics,Low,7,0
904636,3858321,2,13,Excited,High,79,Low,Home,High,9,1
769349,2473152,53,27,Stressed,Medium,106,High,Clothing,High,5,0
277757,97324,48,43,Excited,High,55,Medium,Home,None,6,1
443374,4234011,49,1,Stressed,Medium,72,Low,Home,High,5,0
158542,4369406,34,69,Stressed,High,100,High,Accessories,Low,5,0
160978,2952762,13,11,Excited,Low,105,High,Clothing,Low,4,0
132361,1812610,42,49,Stressed,Medium,28,High,Clothing,High,9,0
318697,1060146,49,22,Neutral,High,43,Low,Home,High,6,0
809393,4146363,15,49,Stressed,Medium,105,Low,Home,High,7,0
501126,652296,54,7,Neutral,Low,28,Low,Clothing,None,6,1
635015,969918,54,42,Happy,Medium,73,Medium,Food,High,2,0
286283,1281647,48,45,Neutral,Low,67,Medium,Home,Low,1,0
865616,2935639,13,52,Excited,Low,47,Low,Accessories,High,5,0
794607,4662089,49,63,Happy,Low,69,High,Home,Low,9,0
742538,2043540,8,30,Excited,Low,104,High,Accessories,None,4,0
232599,3704181,3,18,Happy,High,69,Low,Home,Low,2,0
885786,3395742,18,0,Happy,Medium,87,Low,Home,None,6,0
51974,1581590,0,14,Neutral,High,20,High,Accessories,None,3,0
890378,3365160,48,34,Excited,Medium,43,Low,Clothing,None,6,0
760724,2047823,45,65,Stressed,High,45,Low,Home,None,9,1
225099,1322191,47,65,Happy,Low,69,Medium,Accessories,High,5,0
135882,2385932,33,47,Excited,Medium,36,High,Food,None,4,0
420232,2091213,45,42,Excited,Medium,108,Low,Electronics,High,5,0
987521,4258486,52,14,Stressed,Low,24,Medium,Clothing,High,4,0
896832,3622556,12,18,Happy,Low,33,High,Accessories,Low,4,0
880229,753013,26,28,Neutral,Medium,110,Medium,Clothing,None,3,0
114843,4122923,29,17,Neutral,High,1,Low,Food,High,1,0
755851,3408096,29,6,Neutral,Low,94,Medium,Home,Low,7,0
265848,1535814,55,41,Excited,Low,60,Low,Electronics,Low,8,0
632309,4735741,6,53,Happy,Low,0,Low,Accessories,None,8,1
994220,2714644,54,21,Excited,Medium,117,Low,Electronics,None,5,0
225210,3334049,8,14,Stressed,Medium,9,Low,Accessories,Low,8,1
75438,1780767,15,48,Excited,Low,25,High,Home,Low,5,0
105161,1502618,35,59,Neutral,High,38,Medium,Home,Low,9,0
343765,2563944,54,68,Excited,Medium,46,Low,Clothing,High,1,0
17683,1017384,54,20,Neutral,Medium,80,Medium,Clothing,None,6,0
540352,4763982,31,10,Excited,Low,9,High,Clothing,None,9,1
451050,2896005,24,1,Excited,Low,63,High,Accessories,High,3,0
257731,99018,41,38,Happy,High,40,Medium,Home,None,1,1
109897,1498293,18,67,Stressed,Low,89,Medium,Home,Low,6,0
694942,3263084,32,35,Neutral,Medium,2,Medium,Clothing,None,9,1
403372,4576843,12,48,Excited,Low,59,High,Electronics,High,2,0
461277,4082716,7,49,Happy,Low,66,Low,Accessories,Low,6,0
307307,4173962,21,69,Neutral,Low,1,Medium,Electronics,High,7,0
649879,4913240,34,29,Excited,Medium,115,Medium,Clothing,None,8,0
620011,2556331,4,30,Stressed,Medium,46,High,Electronics,Low,9,1
232091,4185413,29,54,Excited,High,15,Low,Accessories,Low,1,0
151225,2273115,2,15,Excited,Low,29,High,Home,High,7,0
310425,2131453,4,64,Happy,Low,29,Low,Accessories,Low,5,0
907719,3409231,38,31,Neutral,High,32,High,Food,High,5,1
196183,4733307,33,13,Stressed,High,35,Low,Accessories,None,1,0
523038,3275209,40,1,Happy,Low,90,Low,Food,High,9,0
448380,4589258,51,61,Happy,Medium,22,Medium,Accessories,High,4,0
614711,4814109,42,14,Excited,Medium,85,Medium,Home,None,5,0
757821,3903606,48,41,Stressed,High,37,High,Food,None,2,0
994511,4391007,41,29,Excited,Medium,77,High,Electronics,None,6,0
293944,1618325,8,14,Stressed,High,20,Low,Electronics,High,3,0
544947,4120362,17,19,Neutral,Low,81,High,Clothing,High,9,0
457006,2952893,32,35,Stressed,Medium,94,Low,Home,High,1,0
693095,4345092,51,2,Excited,Low,98,High,Food,Low,9,1
202430,1495036,33,7,Excited,Medium,20,Medium,Home,High,2,0
556160,969163,44,59,Happy,High,11,High,Accessories,Low,4,1
841581,869645,31,42,Happy,Medium,1,Medium,Food,Low,7,1
302116,1620777,9,1,Happy,Medium,10,High,Home,None,2,0
906345,2066774,8,8,Happy,Medium,98,High,Electronics,High,5,1
225519,142478,15,15,Stressed,High,96,High,Home,Low,4,1
579161,965612,38,51,Excited,Low,92,Low,Accessories,Low,4,0
496087,1302638,49,62,Excited,Low,100,Medium,Food,Low,4,0
99121,3100010,6,26,Stressed,High,91,Low,Home,High,6,0
927510,1551236,21,4,Excited,High,54,Medium,Clothing,None,2,1
530886,209366,20,9,Excited,Low,86,Medium,Home,High,8,1
489586,1731676,25,52,Neutral,High,81,High,Electronics,Low,5,0
262357,1357144,34,59,Stressed,Low,10,Low,Electronics,Low,5,0
782568,3442172,25,67,Neutral,High,33,High,Accessories,None,4,0
426627,602218,40,51,Excited,Low,28,Low,Electronics,Low,6,0
719451,1433080,40,63,Stressed,Medium,16,Medium,Electronics,Low,8,1
628914,1249289,59,47,Excited,High,28,Low,Accessories,High,1,1
413547,4752263,59,20,Neutral,Medium,27,Low,Clothing,High,7,0
421868,3894877,7,48,Excited,Low,78,High,Accessories,None,1,0
418697,970188,31,43,Happy,Medium,64,Medium,Home,Low,7,0
725886,3924047,56,42,Stressed,Medium,0,High,Home,High,3,0
625353,1785752,4,19,Neutral,Low,20,Medium,Clothing,High,8,1
639391,408082,51,14,Happy,Medium,82,Low,Accessories,None,7,1
451172,1212786,57,4,Neutral,High,4,High,Electronics,High,6,1
660849,2018321,37,7,Neutral,High,103,Medium,Food,High,9,1
489984,2621241,2,48,Stressed,Medium,35,High,Accessories,High,4,0
452826,3621984,57,61,Excited,Low,113,High,Home,None,5,0
923532,2905737,53,12,Excited,Medium,52,Medium,Clothing,High,2,0
570176,1505071,17,54,Stressed,High,72,Low,Electronics,Low,9,1
185215,1524603,29,43,Stressed,Low,31,Medium,Home,None,3,0
252841,983836,34,31,Excited,High,93,Medium,Home,High,7,1
561981,4118640,46,17,Neutral,High,20,Medium,Accessories,None,5,0
622943,4544014,22,21,Excited,Low,106,Medium,Accessories,Low,9,0
880462,3236185,1,28,Excited,Low,84,Medium,Accessories,Low,4,1
568976,489814,50,22,Stressed,Low,87,Low,Electronics,None,6,0
67310,2358847,2,62,Excited,Medium,117,Medium,Food,High,3,0
29775,1190574,43,24,Happy,Medium,100,High,Food,None,8,0
233153,2518024,43,4,Neutral,High,2,Medium,Food,None,1,1
456212,4745319,41,9,Neutral,Low,20,High,Home,None,7,0
601203,1121271,12,8,Excited,Medium,115,Medium,Clothing,None,4,1
19083,521409,53,11,Neutral,High,80,Low,Clothing,Low,9,0
89514,2772891,10,15,Stressed,Low,114,High,Home,None,7,0
417028,1038316,57,3,Stressed,Low,110,High,Accessories,High,4,1
899657,1775485,34,25,Excited,Medium,36,High,Home,None,6,0
264217,2746094,20,37,Excited,Medium,45,Medium,Electronics,None,4,0
955358,1343486,6,3,Happy,High,92,Low,Accessories,Low,3,1
643457,3567169,54,3,Happy,High,119,High,Electronics,None,8,1
246403,2509594,30,59,Neutral,Low,59,Medium,Food,High,3,0
661407,2419802,21,23,Excited,Low,108,Medium,Accessories,None,6,0
770965,3292058,47,44,Excited,High,99,High,Accessories,High,7,1
76306,3053593,51,46,Excited,Low,74,Low,Home,None,9,0
993118,3589197,3,19,Happy,Medium,111,Medium,Home,None,6,0
641197,4387794,38,8,Happy,Low,89,Medium,Accessories,Low,5,0
751214,4862993,49,2,Stressed,Medium,76,High,Food,None,1,0
229031,1744461,16,50,Happy,Medium,116,High,Electronics,High,3,0
916831,4007713,50,68,Neutral,Medium,92,Low,Home,High,5,0
523206,4968401,4,69,Neutral,Low,89,Low,Accessories,None,4,0
449880,1582969,34,0,Happy,Low,23,High,Accessories,High,9,1
650074,3033149,45,59,Happy,High,107,Low,Clothing,Low,9,1
931529,2576165,23,29,Neutral,Medium,85,Low,Home,High,7,0
19725,78997,55,9,Neutral,Medium,79,Low,Accessories,Low,6,0
270090,2414029,43,44,Happy,High,99,Medium,Clothing,None,8,0
302979,810113,42,56,Stressed,Low,20,Medium,Electronics,Low,4,0
555020,2097101,14,31,Stressed,Low,119,Low,Electronics,Low,4,0
238561,3740444,41,25,Stressed,Low,107,High,Accessories,High,8,0
464234,1467436,57,20,Happy,High,81,High,Food,None,5,0
427787,3772255,48,18,Stressed,Medium,114,High,Electronics,High,9,0
305085,3503408,32,49,Stressed,Low,116,Medium,Electronics,Low,4,0
932906,4328654,21,32,Neutral,Low,80,High,Home,Low,8,1
138643,683841,42,40,Happy,Medium,38,Medium,Accessories,Low,6,0
460435,1384904,9,4,Excited,Low,1,Medium,Clothing,High,6,1
330867,2834455,47,50,Neutral,High,38,High,Clothing,High,6,0
450592,3371823,37,59,Stressed,High,58,Medium,Electronics,None,3,0
624496,4996536,31,6,Excited,Medium,20,Low,Food,High,4,0
533621,3836661,51,14,Stressed,Medium,119,Medium,Food,High,8,0
804615,2216738,40,39,Happy,Low,57,Medium,Electronics,None,1,0
81866,1731199,2,43,Neutral,Low,96,Low,Home,Low,4,0
457432,2281787,22,49,Happy,High,42,Medium,Accessories,Low,3,0
226108,2760063,11,7,Neutral,High,23,Medium,Clothing,High,9,1
261766,4468158,8,46,Neutral,Medium,14,High,Accessories,None,8,0
400237,2524507,5,11,Happy,Medium,1,Medium,Electronics,High,7,0
273310,3019938,49,39,Stressed,Low,101,Low,Home,None,1,0
775208,2715527,7,31,Neutral,Low,47,Low,Food,Low,5,0
273399,4123893,53,18,Stressed,Medium,31,High,Accessories,High,9,0
